Experiment Name:,151120_CGI002b_phopho_exported_populations
Primary Researcher:,Adeeb Rahman
Compensation used:,File-internal Compensation
Exported at:,December 16 2015 - 02:30 pm
Link to experiment:,https://mtsinai.cytobank.org/cytobank/experiments/15066

FCS Filename,Conditions,Individuals,SampleType,Ungated_EventCounts,Medians_Ungated_Sm147Di--(pSTAT5),Medians_Ungated_Eu153Di--(pSTAT1),Medians_Ungated_Gd156Di--(pp38),Medians_Ungated_Gd158Di--(pSTAT3),Medians_Ungated_Tb159Di--(pMAPKAP2),Medians_Ungated_Dy162Di--(pPLCg2),Medians_Ungated_Dy164Di--(IkBa),Medians_Ungated_Ho165Di--(pCREB),Medians_Ungated_Er167Di--(pERK1_2),Medians_Ungated_Lu175Di--(pS6)
151120_CGI002b_CV7096_auto_live_Total.fcs,auto,CV7096,Total,54967,1.2416309118270874,0.0,10.313395500183105,0.9192610383033752,24.11575698852539,14.152247428894043,7.986171722412109,93.2385025024414,1.6891032457351685,3.5002620220184326
151120_CGI002b_CV7096_auto_live_pDCs.fcs,auto,CV7096,pDCs,220,1.5151169896125793,3.602636456489563,19.93141269683838,1.2435941100120544,48.40056800842285,25.97144603729248,11.103907108306885,125.76364517211914,0.7003106772899628,123.62741470336914
151120_CGI002b_CV7096_healthy_live_B cells.fcs,healthy,CV7096,B cells,2180,1.1032376885414124,0.0,7.8287200927734375,1.7781793475151062,29.632569313049316,17.42922019958496,3.026342034339905,54.45333290100098,0.0,10.977383136749268
151120_CGI002b_CV7096_healthy_live_Basophils.fcs,healthy,CV7096,Basophils,57,2.125983476638794,3.4036850929260254,9.47802448272705,1.0876481533050537,2.9585890769958496,1.680354356765747,2.0904645919799805,118.75071716308594,0.7047697901725769,6.712757587432861
151120_CGI002b_CV7096_healthy_live_CD14 monocytes.fcs,healthy,CV7096,CD14 monocytes,8945,4.962059020996094,2.8660898208618164,33.28114700317383,5.255716323852539,48.23268127441406,34.631675720214844,9.536150932312012,266.50531005859375,1.9594824314117432,9.744315147399902
151120_CGI002b_CV7096_healthy_live_CD16 monocytes.fcs,healthy,CV7096,CD16 monocytes,153,5.715928554534912,6.168155670166016,16.082275390625,4.581912994384766,35.39613723754883,86.80738830566406,6.729467868804932,147.36605834960938,0.42766109108924866,5.770143985748291
151120_CGI002b_CV7096_healthy_live_CD1c DCs.fcs,healthy,CV7096,CD1c DCs,789,2.6905007362365723,1.1573498249053955,22.773128509521484,1.8637990951538086,49.54475784301758,40.3244743347168,38.73807907104492,245.8016815185547,1.1870394945144653,24.682552337646484
151120_CGI002b_CV7096_healthy_live_CD4 T cells.fcs,healthy,CV7096,CD4 T cells,23953,0.6531736850738525,0.0,8.062383651733398,0.15747173130512238,18.06802749633789,8.956191062927246,12.575373649597168,72.6574935913086,2.472567081451416,2.056737184524536
151120_CGI002b_CV7096_healthy_live_CD8 T cells.fcs,healthy,CV7096,CD8 T cells,9274,0.6118160486221313,0.0,8.669231414794922,0.14257972687482834,20.978365898132324,8.432344436645508,13.21984338760376,76.1796989440918,2.4612295627593994,2.2914434671401978
151120_CGI002b_CV7096_healthy_live_NK cells.fcs,healthy,CV7096,NK cells,14716,1.0305073261260986,0.0,6.8710033893585205,0.5880070626735687,25.0216121673584,22.844770431518555,4.01663875579834,73.394287109375,0.0,0.761432945728302
151120_CGI002b_CV7096_healthy_live_NKT cells.fcs,healthy,CV7096,NKT cells,3548,0.6567777693271637,0.0,5.779376268386841,0.8551540076732635,19.632649421691895,15.567242622375488,5.70270562171936,64.1585693359375,2.691249966621399,1.322560429573059
151120_CGI002b_CV7096_healthy_live_Total.fcs,healthy,CV7096,Total,64623,1.1626405715942383,0.0,9.305845260620117,0.8940678834915161,23.549823760986328,14.218648910522461,8.485210418701172,82.45392608642578,1.6031228303909302,2.4672794342041016
151120_CGI002b_CV7096_healthy_live_pDCs.fcs,healthy,CV7096,pDCs,247,1.7155656814575195,2.68636155128479,16.75200843811035,1.3346176147460938,49.855079650878906,28.0565242767334,10.360541343688965,83.27262115478516,0.7071281671524048,151.12826538085938
151120_CGI002b_CV7100_auto_live_B cells.fcs,auto,CV7100,B cells,2100,0.4858947992324829,0.0,9.487899780273438,1.7254026532173157,27.58359146118164,18.258070945739746,0.9201591312885284,104.69615173339844,0.0,12.649100303649902
151120_CGI002b_CV7100_auto_live_Basophils.fcs,auto,CV7100,Basophils,491,7.732456684112549,2.811245918273926,30.86309242248535,1.5260214805603027,15.56545639038086,0.18274787068367004,2.386526584625244,132.2564239501953,2.107975959777832,9.881181716918945
151120_CGI002b_CV7100_auto_live_CD14 monocytes.fcs,auto,CV7100,CD14 monocytes,5094,5.65497612953186,2.9943898916244507,33.411983489990234,6.293389081954956,44.05891799926758,40.65577507019043,12.37086534500122,251.22998809814453,2.522700309753418,9.760464668273926
