FCS Filename,SampleType,Individuals,Medians_Ungated_Sm147Di--(pSTAT5), Medians_Ungated_Eu153Di--(pSTAT1), Medians_Ungated_Gd156Di--(pp38), Medians_Ungated_Gd158Di--(pSTAT3), Medians_Ungated_Tb159Di--(pMAPKAP2), Medians_Ungated_Dy162Di--(pPLCg2), Medians_Ungated_Dy164Di--(IkBa), Medians_Ungated_Ho165Di--(pCREB), Medians_Ungated_Er167Di--(pERK1_2), Medians_Ungated_Lu175Di--(pS6)
160217_CGI002_CV7019_singlets_CD16 monocytes.fcs,CD16 monocytes,CV7019,19.8799438476562,5.10288047790527,4.79249715805053,5.36312103271484,38.9678230285644,48.7216529846191,9.39682435989379,207.979042053222,0.450347825884819,17.8045854568481
160217_CGI002_CV7019_singlets_CD1c DC.fcs,CD1c DCs,CV7019,15.4850511550903,4.25179624557495,16.1780319213867,4.02282905578613,58.189525604248,36.725414276123,44.6273345947265,415.771850585937,4.96675157546997,69.9028091430664
160217_CGI002_CV7019_singlets_CD4 T Cells.fcs,CD4 T cells,CV7019,5.96550107002258,0.362351045012474,1.36965984106063,2.60403442382812,30.3804388046264,12.2967076301574,31.2186555862426,158.242408752441,2.37204527854919,10.344470500946
160217_CGI002_CV7019_singlets_CD8 T cells.fcs,CD8 T cells,CV7019,6.53599309921264,0.303335279226303,2.13085842132568,1.31406092643737,33.1039848327636,18.5002574920654,37.4352531433105,166.98435974121,1.58842158317565,11.2789039611816
160217_CGI002_CV7019_singlets_NK cells.fcs,NK cells,CV7019,6.88762092590332,0.673673331737518,5.19209146499633,0.548158407211303,31.0588645935058,31.1711883544921,4.86734390258789,146.071075439453,0.737664222717285,10.6900253295898
160217_CGI002_CV7019_singlets_NKT cells.fcs,NKT cells,CV7019,4.79071617126464,0,0.576025187969207,0.379085436463356,16.5161685943603,23.8380489349365,4.47775816917419,64.9780349731445,0.157281979918479,5.03392362594604
160217_CGI002_CV7019_singlets_T cells.fcs,T cells,CV7019,6.09372925758361,0.31283089518547,1.54736047983169,2.07538890838623,30.6749057769775,14.0850567817687,31.6491861343383,158.681037902832,2.13550424575805,10.5793328285217
160217_CGI002_CV7019_singlets_pDC.fcs,pDCs,CV7019,10.0057392120361,4.53430938720703,5.40593814849853,2.22231388092041,45.1451148986816,31.7767314910888,20.703010559082,293.315551757812,0.480506688356399,42.1544914245605
160217_CGI002_CV7036_singlets_B cells.fcs,B cells,CV7036,5.27401185035705,0.301287665963172,1.83955919742584,2.59275674819946,38.3878688812255,18.7749109268188,6.60578823089599,151.075325012207,0,25.0929698944091
160217_CGI002_CV7036_singlets_Basophils.fcs,Basophils,CV7036,9.13313007354736,2.11605715751647,1.07525491714477,1.08315861225128,9.34118175506591,1.20931577682495,9.68406772613525,66.2495651245117,1.55142474174499,11.5365285873413
160217_CGI002_CV7036_singlets_CD14 monocytes.fcs,CD14 monocytes,CV7036,23.2804222106933,5.50580358505249,10.0628128051757,7.4111328125,58.6771659851074,28.9949493408203,20.7607059478759,344.94580078125,4.09743928909301,36.3488273620605
