FCS Filename,SampleType,Individuals,Medians_Ungated_Sm147Di--(pSTAT5), Medians_Ungated_Eu153Di--(pSTAT1), Medians_Ungated_Gd156Di--(pp38), Medians_Ungated_Gd158Di--(pSTAT3), Medians_Ungated_Tb159Di--(pMAPKAP2), Medians_Ungated_Dy162Di--(pPLCg2), Medians_Ungated_Dy164Di--(IkBa), Medians_Ungated_Ho165Di--(pCREB), Medians_Ungated_Yb171Di--(CD161/pERK1/2), Medians_Ungated_Lu175Di--(pS6)
151030_CGI002_CV7102_singlets_CD14+ monocytes.fcs,CD14 monocytes,CV7102,13.6840000152587,14.5220003128051,64.3280029296875,13.2390003204345,79.9100036621093,90.1589965820312,25.94700050354,337.309997558593,6.55600023269653,98.2279968261718
151030_CGI002_CV7102_singlets_CD16+ monocytes.fcs,CD16 monocytes,CV7102,11.5215001106262,16.958999633789,33.8455009460449,10.183000087738,51.7719993591308,107.289501190185,14.5110001564025,159.06900024414,0,4.42650008201599
151030_CGI002_CV7102_singlets_B cells.fcs,B cells,CV7102,3.91500008106231,2.92650008201599,15.6904997825622,3.04799997806549,36.3015003204345,30.4064998626709,18.4650001525878,77.447998046875,0,7.62949991226196
151030_CGI002_CV7102_singlets_Basophils.fcs,Basophils,CV7102,6.94899988174438,3.23499989509582,9.29500007629394,1.07500004768371,10.1450004577636,4.07999992370605,23.898000717163,85.3440017700195,0,29.5109996795654
151030_CGI002_CV7102_singlets_CD1c DCs.fcs,CD1c DCs,CV7102,7.85799980163574,6.57200002670288,51.7039985656738,5.13899993896484,68.3450012207031,73.1750030517578,82.1660003662109,318.653991699218,1.71899998188018,48.0089988708496
151030_CGI002_CV7102_singlets_CD4 T cells.fcs,CD4 T Cells,CV7102,3.91400003433227,1.93099999427795,13.66100025177,2.22300004959106,29.1180000305175,21.297999382019,50.9260005950927,73.0615005493164,0,0.478499993681907
151030_CGI002_CV7102_singlets_CD8 T cells.fcs,CD8 T cells,CV7102,3.64250004291534,1.7204999923706,14.0295000076293,1.53850001096725,29.5510005950927,22.6374998092651,48.1665000915527,80.7729988098144,0,1.25550001859664
151030_CGI002_CV7102_singlets_NK cells.fcs,NK cells,CV7102,5.51499986648559,3.84800004959106,14.1820001602172,2.19899988174438,32.8110008239746,64.5419998168945,28.7259998321533,100.837997436523,3.94000005722045,0.69099998474121
151030_CGI002_CV7102_singlets_NKT cells.fcs,NKT cells,CV7102,3.57599997520446,2.17300009727478,11.2329998016357,1.65299999713897,23.6700000762939,38.625,21.966999053955,69.4629974365234,4.98799991607666,0
151030_CGI002_CV7102_singlets_pDCs.fcs,pDCs,CV7102,6.35949993133544,4.91000008583068,32.5629997253418,4.34299993515014,62.3320007324218,56.8279991149902,43.3520011901855,234.727005004882,0.650499999523162,28.8044996261596
151030_CGI002_CV7106_singlets_CD14+ monocytes.fcs,CD14 monocytes,CV7106,13.4070000648498,13.535500049591,75.5755004882812,12.808000087738,90.8010025024414,77.0665016174316,25.2030000686645,363.111007690429,10.7254996299743,125.694999694824
151030_CGI002_CV7106_singlets_CD16+ monocytes.fcs,CD16 monocytes,CV7106,12.8875002861022,19.0694999694824,35.376501083374,12.5920000076293,52.7119998931884,121.228000640869,13.9879999160766,164.184494018554,0,3.19249999523162
151030_CGI002_CV7106_singlets_B cells.fcs,B cells,CV7106,4.0479998588562,2.40300011634826,16.9400005340576,4.07200002670288,37.4949989318847,29.2220001220703,17.4680004119873,87.9049987792968,0,7.84499979019165
151030_CGI002_CV7106_singlets_Basophils.fcs,Basophils,CV7106,10.2295002937316,1.72799998521804,7.69799995422363,1.3914999961853,11.731499671936,0.931000024080276,19.3055000305175,68.3055000305175,1.66750001907348,29.4664993286132
